Description,size
R  67:507 Overtemperature - (Thermo switch heatsink inv. 7),12
R  67:508 Overtemperature - (Thermo switch heatsink inv. 8),111
R  67:601 Overtemperature - (Power choke inverter 1),6
R  70:11 Generator overtemperature - (Stator (slot)),9
R  70:12 Generator overtemperature - (Stator (slot 2)),38
R  70:2 Generator overtemperature - (Rotor),20
R  73:2 Torque monitoring - (Peak load),16
R  80:1 Fault excitation - (Fault current),3
R  80:2 Fault excitation - (Rotor monitoring),5
R  80:30 Fault excitation - (Undervoltage DC-link),2
R  80:42 Fault excitation - (Excit. current too low during operation),43
